latitude,longitude,value
45.577255,10.70105,236.756
45.577255,10.701031666666667,276.878
45.577255,10.70102,202.691
45.57727,10.701005,351.155
45.57727,10.70099,203.57
45.577286666666666,10.70098,276.14
45.577295,10.700961666666666,264.227
45.57730333333333,10.700948333333333,212.174
45.577326666666664,10.700925,271.929
45.57734333333333,10.700905,276.255
45.57736,10.700885,272.851
45.577376666666666,10.700873333333334,223.341
45.577385,10.700866666666666,250.676
45.57739333333333,10.700878333333334,249.016
45.57740833333333,10.7009,296.876
45.57740833333333,10.70092,220.015
45.5774,10.700936666666667,209.773
45.577385,10.700955,205.523
45.577376666666666,10.700975,159.398
45.577376666666666,10.70099,276.476
45.57736,10.701006666666666,132.078
45.57734333333333,10.70102,279.936
45.577326666666664,10.701031666666667,224.395
45.57731166666667,10.701043333333333,236.385
45.57730333333333,10.701056666666666,155.199
45.577286666666666,10.701066666666666,180.01
45.57727,10.701076666666667,233.02
45.577255,10.701085,285.203
45.577238333333334,10.701096666666666,210.815
45.57723,10.701116666666667,180.04
45.577238333333334,10.701136666666667,200.581
45.577238333333334,10.70116,198.018
45.577238333333334,10.701188333333333,233.949
45.577238333333334,10.701213333333333,261.359
45.57724666666667,10.701238333333333,132.205
45.577255,10.701263333333333,266.515
45.577255,10.701291666666666,225.468
45.577261666666665,10.701316666666667,185.273
45.57727,10.70134,299.924
45.57727,10.701358333333333,185.295
45.57727,10.701375,158.772
45.577255,10.701393333333334,302.527
45.577238333333334,10.701408333333333,231.542
45.577238333333334,10.70142,248.676
45.577238333333334,10.701435,247.807
45.57723,10.70145,254.683
45.577205,10.70146,298.341
45.577196666666666,10.701483333333334,186.219
45.577205,10.701496666666667,187.091
45.57722166666667,10.70151,235.899
45.57723,10.70152,239.343
45.57724666666667,10.70152,297.572
45.57727,10.70151,298.443
45.577295,10.70149,224.822
45.577295,10.701478333333334,235.959
45.577295,10.701466666666667,235.977
45.577295,10.701448333333333,185.455
45.577295,10.701426666666666,159.775
45.57730333333333,10.701411666666667,194.026
45.57730333333333,10.701388333333334,254.859
45.57731166666667,10.70137,159.793
45.57732,10.701348333333334,297.711
45.57731166666667,10.701321666666667,284.007
45.57730333333333,10.701296666666666,297.721
45.57730333333333,10.701278333333333,297.755
45.57730333333333,10.701243333333334,241.224
45.57730333333333,10.701243333333334,270.343
45.57730333333333,10.701238333333333,284.072
45.577286666666666,10.701225,125.571
45.577286666666666,10.701201666666666,304.656
45.57727833333333,10.701178333333333,242.967
45.57727833333333,10.701155,242.987
45.57727833333333,10.701133333333333,153.017
45.577286666666666,10.701113333333334,302.992
45.577295,10.701095,248.999
45.57730333333333,10.70108,229.313
45.57730333333333,10.70107,229.312
45.57730333333333,10.701063333333334,227.618
45.57730333333333,10.701061666666666,229.334
45.57730333333333,10.701058333333334,225.052
45.57730333333333,10.701053333333334,229.348
45.57730333333333,10.701053333333334,226.771
45.57730333333333,10.701053333333334,229.355
45.57730333333333,10.70105,227.645
45.57730333333333,10.701045,229.367
45.57730333333333,10.701045,224.214
45.57730333333333,10.701045,226.808
45.57730333333333,10.701045,229.384
45.57730333333333,10.701043333333333,226.819
45.57730333333333,10.701041666666667,225.977
45.57730333333333,10.701041666666667,225.975
45.57730333333333,10.70104,229.397
45.57730333333333,10.70104,226.839
45.57730333333333,10.701038333333333,226.839
45.57730333333333,10.701038333333333,229.42
45.57731166666667,10.701038333333333,225.138
45.57731166666667,10.701038333333333,229.43
45.57731166666667,10.701038333333333,229.433
45.57731166666667,10.701035,229.45
45.57731166666667,10.701035,229.448
